ref	Qty	value	
C1,C3	2	22pF	1827810
C2,C5,C6,C8,C9,C11,C13	7	100nF	9411887
C4,C12,C14	3	10uF	8766940
C7	1	4.7uF	1973508
C15,C16,C17	3	100uF	1870961
D1,D2	2	1N4001	1651089
D3	1	LED	1863178
D4	1	LED	1863180
IC1	1	ATMEGA1284-P	1715481
J1	1	USB_2	1626770
K1,K2,K3,K4,K5,K6,P9,P10,P11,P18,P19,P20,P22,P23	8	PIN HEADER	1097954
K7.K8	2	RELAY_2RT	1629044
P1	1	ISP	9733884
P2,P3,P4.P5,P6,P7,P8,P21,P24,P25,P26,P27,P28,P29,P30	7	SCREW TERMINAL	2008004
P12,P13,P14,P15,P16,P17	6	CONN_8	1593463
Q1,Q2	2	MOSFET_N	9803068
Q3,Q4	2	PN2222A	1611371
R2,R4	2	10R	9339035
R3,R5,R6,R7,R8,R19,R20	7	10k	2329474
R9,R10,R11	3	100k	2329853
R12,R13	2	220 Ohms	2329500
R16,R17,R18	3	1k5	2330042
U1	1	7805	1102157
U2	1	FT232RL	1146032
X1	1	CRYSTAL	2063950
